ID,url number,ACCIDENT LOCATION,ACCIDENT Date,Victim NUMBER,Vehicle 1,Vehicle 2,Vehicle 3
173,307,Manikganj,12/5/2020 21:00,13,truck,bus,rickshaw
174,307,Manikganj,12/5/2020 21:00,13,truck,bus,rickshaw
175,311,Manikganj,12/5/2020 21:02,seven,truck,bus,rickshaw
176,311,Manikganj,12/5/2020 21:02,seven,truck,bus,rickshaw
177,312,Daulatpur,12/5/2020 21:02,Seven,bus,rickshaw,auto
178,313,Bangladesh,12/6/2020 21:00,439,car,motorcycle,train
179,314,Gopalpur,12/6/2020 21:01,Three,bike,motorcycle,
180,315,Kashempur,12/6/2020 21:01,Three,motorcycle,,
181,317,Habiganj,12/7/2020 21:03,eight,bus,rickshaw,auto
182,317,Bangladesh,12/7/2020 21:03,eight,bus,rickshaw,auto
183,325,Kurni,12/8/2020 21:20,Two,truck,,
184,325,Mirzapur,12/8/2020 21:20,Two,truck,,
185,327,vegetable.laden,12/8/2020 21:41,Five,truck,,
186,327,Bangladesh,12/8/2020 21:41,Five,truck,,
187,334,Asinur,12/11/2020 21:01,One,train,auto,
188,334,Nupur,12/11/2020 21:01,One,train,auto,
189,341,Nigeria,12/12/2020 21:02,16,bus,,
190,342,Kalinijpara,12/13/2020 21:01,One,truck,bike,auto
191,342,Cumilla,12/13/2020 21:01,One,truck,bike,auto
192,344,Bangladesh,12/15/2020 21:01,six,bus,rickshaw,
193,344,Bangladesh,12/15/2020 21:01,six,bus,rickshaw,
194,357,Bhairab,12/18/2020 21:02,three,truck,rickshaw,auto
195,357,Kishoreganj,12/18/2020 21:02,three,truck,rickshaw,auto
196,359,Bhairab,12/18/2020 21:02,three,truck,rickshaw,auto
197,359,Kishoreganj,12/18/2020 21:02,three,truck,rickshaw,auto
198,360,Joypurhat,12/19/2020 21:01,12,bus,car,train
199,360,Bheramara,12/19/2020 21:01,12,bus,car,train
200,362,Joypurhat,12/19/2020 21:01,12,bus,train,
201,362,Bogra,12/19/2020 21:01,12,bus,train,
202,364,Joypurhat,12/20/2020 21:01,12,bus,train,
203,364,Bangladesh,12/20/2020 21:01,12,bus,train,
204,370,Dinajpur,12/22/2020 21:01,12,truck,bus,train
205,370,Joypurhat,12/22/2020 21:01,12,truck,bus,train
206,373,Katiadi,12/22/2020 21:01,One,truck,bus,rickshaw
207,373,Kishoreganj,12/22/2020 21:01,One,truck,bus,rickshaw
208,374,Katiadi,12/22/2020 21:01,One,truck,bus,rickshaw
209,374,Kishoreganj,12/22/2020 21:01,One,truck,bus,rickshaw
210,376,Bangladesh,12/23/2020 21:01,one,car,auto,
211,376,Bangladesh,12/23/2020 21:01,one,car,auto,
212,378,brick.laden,12/23/2020 21:01,10,rickshaw,auto,
213,379,Ramganj,12/23/2020 21:01,Two,rickshaw,auto,
214,381,Gazaria,12/24/2020 21:01,One,bus,,
215,381,Munshiganj,12/24/2020 21:01,One,bus,,
216,382,Gazaria,12/24/2020 21:01,One,bus,car,
217,382,Munshiganj,12/24/2020 21:01,One,bus,car,
218,383,Bangladesh,12/25/2020 21:01,48,bus,motorcycle,
219,385,Bangladesh,12/25/2020 21:01,48,bus,motorcycle,
220,386,Bangladesh,12/25/2020 21:01,48,bus,motorcycle,
221,397,Comilla,12/30/2020 21:01,30,truck,bus,motorcycle
222,397,Comilla,12/30/2020 21:01,30,truck,bus,motorcycle
223,403,Naogaon,1/1/2021 21:01,1,truck,bus,car
224,403,Kahaloo,1/1/2021 21:01,1,truck,bus,car
225,404,Narsingdi,1/1/2021 21:01,four,bus,car,
226,405,Narsingdi,1/1/2021 21:01,four,bus,car,
227,407,Dhaka,1/2/2021 21:01,Two,bike,motorcycle,
228,407,Kashimpur,1/2/2021 21:01,Two,bike,motorcycle,
229,410,Gachtala,1/3/2021 21:01,Seven,bus,rickshaw,auto
230,410,Tarakanda,1/3/2021 21:01,Seven,bus,rickshaw,auto
232,415,Puthia,1/5/2021 21:01,35,bus,auto,
233,417,Dhaka,1/6/2021 21:03,One,auto,,
234,419,Khilgaon,1/6/2021 21:04,one,train,auto,
235,422,Ullapara,1/8/2021 21:01,two,rickshaw,auto,
236,422,Hatikumul,1/8/2021 21:01,two,rickshaw,auto,
238,424,Bangladesh,1/9/2021 21:01,2020,car,motorcycle,
239,424,Bangladesh,1/9/2021 21:01,2020,car,motorcycle,
240,425,Rajshahi,1/9/2021 21:01,1,train,,
241,427,Jashore,1/9/2021 21:01,Two,truck,motorcycle,auto
242,427,Khulna,1/9/2021 21:01,Two,truck,motorcycle,auto
243,428,Bejerdanga,1/9/2021 21:01,One,truck,,
244,428,Jashore,1/9/2021 21:01,One,truck,,
245,429,Indonesia,1/9/2021 21:02,738,auto,,
246,429,Jakarta,1/9/2021 21:02,738,auto,,
247,430,Joypurhat,1/10/2021 21:01,2008,bus,car,train
248,431,Satkhira,1/10/2021 21:01,two,bus,auto,
251,435,Dhaka,1/12/2021 0:05,1,motorcycle,,
252,436,Bannagar,1/12/2021 0:05,Four,motorcycle,train,auto
253,436,Nagalkot,1/12/2021 0:05,Four,motorcycle,train,auto
254,441,Rangamati,1/12/2021 21:01,three,truck,car,auto
255,441,Bailey,1/12/2021 21:01,three,truck,car,auto
256,442,Thakurgaon,1/12/2021 21:01,65,motorcycle,train,
257,442,Panchagarh,1/12/2021 21:01,65,motorcycle,train,
258,443,Subidbazar,1/12/2021 21:01,Two,truck,motorcycle,
259,444,Jhenaidah,1/14/2021 21:02,six,truck,,
260,444,Jhenaidah,1/14/2021 21:02,six,truck,,
261,446,Jhenaidah,1/14/2021 21:02,seven,truck,,
262,452,Khulna,1/16/2021 0:08,15,truck,motorcycle,auto
263,452,Khulna,1/16/2021 0:08,15,truck,motorcycle,auto
264,453,Boliapur,1/16/2021 0:08,one,truck,car,bike
265,453,Hemayetpur,1/16/2021 0:08,one,truck,car,bike
266,455,Baufal,1/16/2021 21:50,One,bike,motorcycle,
267,455,Patuakhali,1/16/2021 21:50,One,bike,motorcycle,
268,463,Gulshan,1/19/2021 21:00,One,bus,,
269,468,Padma,1/19/2021 21:01,18,bus,motorcycle,auto
270,470,Pabna,1/21/2021 0:37,six,train,,
271,470,brick.laden,1/21/2021 0:37,six,train,,
272,471,Dhaka,1/21/2021 0:37,One,bus,motorcycle,auto
273,471,Padma,1/21/2021 0:37,One,bus,motorcycle,auto
274,476,Mymensingh,1/21/2021 0:37,25,rickshaw,auto,
275,478,Neilia,1/21/2021 0:37,380000,truck,car,
279,482,Dumuria,1/22/2021 21:03,22,truck,bus,motorcycle
280,482,Khulna,1/22/2021 21:03,22,truck,bus,motorcycle
281,486,Gulistan,1/23/2021 21:02,Two,bus,motorcycle,
282,486,Gulistan,1/23/2021 21:02,Two,bus,motorcycle,
283,487,Pabna,1/23/2021 21:02,four,truck,rickshaw,auto
284,487,Pabna,1/23/2021 21:02,four,truck,rickshaw,auto
285,488,Jonail,1/23/2021 21:02,two,truck,car,bike
286,488,Noimail,1/23/2021 21:02,two,truck,car,bike
290,497,Bhanga,1/25/2021 21:01,Two,bus,bike,motorcycle
291,499,Dinajpur,1/26/2021 21:01,Two,motorcycle,,
292,505,Bangladesh,1/29/2021 21:02,439,bus,,
293,505,Munshiganj,1/29/2021 21:02,439,bus,,
296,511,Mirzapur,1/31/2021 21:02,Two,truck,rickshaw,auto
297,511,Dhaka,1/31/2021 21:02,Two,truck,rickshaw,auto
298,512,Mirzapur,1/31/2021 21:02,four,truck,rickshaw,auto
300,515,Gazipur,1/31/2021 21:03,Two,truck,rickshaw,
301,515,Chandra,1/31/2021 21:03,Two,truck,rickshaw,
302,517,Lakshmipur,2/1/2021 21:03,Two,truck,rickshaw,auto
303,517,Charpata,2/1/2021 21:03,Two,truck,rickshaw,auto
304,522,Jashore,2/2/2021 21:02,Two,bike,motorcycle,
305,522,Bagharpara,2/2/2021 21:02,Two,bike,motorcycle,
