,ACCIDENT LOCATION,ACCIDENT Date,Killed NUMBER,Vehicle 1,Vehicle 2,Time (around),Part of the Day
443,puthia,"April 05, 2021",2,truck,,6am,Morning
444,sultanpur,"April 05, 2021",2,truck,,6am,Morning
445,srinagar,"April 05, 2021",4,rickshaw,auto-rickshaw,7am,Morning
446,pabna,"April 02, 2021",10,motorcycle,truck,10am,Morning
449,chandraghona,"March 26, 2021",4,rickshaw,truck,8pm,Night
451,faridpur,"March 21, 2021",8,truck,bus,7am,Morning
452,satkania,"March 20, 2021",2,motorcycle,bus,7am,Morning
453,lohagara,"March 20, 2021",2,motorcycle,bus,7am,Morning
454,sirajganj,"March 20, 2021",6,rickshaw,truck,6pm,Evening
455,chattogram,"March 20, 2021",6,rickshaw,truck,6pm,Evening
456,jashore,"March 17, 2021",6,truck,bike,6pm,Evening
457,nabharan,"March 17, 2021",6,truck,bike,6pm,Evening
460,chattogram,"March 13, 2021",2,truck,bus,5am,Morning
461,sirajdikhan,"March 08, 2021",2,bus,,1pm,Afternoon
462,dhaka,"March 08, 2021",2,bus,,1pm,Afternoon
464,kadamtali,"March 06, 2021",9,rickshaw,,9am,Morning
465,dhaka,"March 06, 2021",9,rickshaw,,9am,Morning
466,satkhira,"March 06, 2021",1,motorcycle,pickup,5pm,Afternoon
467,chuknagar,"March 06, 2021",1,motorcycle,pickup,5pm,Afternoon
468,faridpur,"March 04, 2021",3,bus,car,5am,Morning
469,nagarkanda,"March 04, 2021",3,bus,car,5am,Morning
470,sylhet,"February 26, 2021",9,bus,,6am,Morning
472,bagatipara,"February 25, 2021",2,motorcycle,,2am,Night
473,chattogram,"February 22, 2021",10,car,bus,00am,
475,shariatpur,"February 21, 2021",2,motorcycle,bus,12pm,Night
476,khulna,"February 20, 2021",2,bike,truck,10pm,Night
478,chattogram,"February 19, 2021",1,pickup,bus,1pm,Afternoon
479,brahmanbaria,"February 19, 2021",5,motorcycle,truck,3pm,Afternoon
482,jaintiapur,"February 14, 2021",2,truck,motorcycle,5am,Morning
483,sylhet,"February 14, 2021",2,truck,motorcycle,5am,Morning
486,santhia,"February 06, 2021",9,truck,,9pm,Night
487,pabna,"February 06, 2021",9,truck,,9pm,Night
488,gazaria,"January 29, 2021",2,bus,,4am,Night
492,dhaka,"January 21, 2021",4,bike,truck,2pm,Afternoon
493,faridpur,"January 21, 2021",4,bike,truck,2pm,Afternoon
494,gazipur,"January 20, 2021",6,bike,car,6am,Morning
495,chandura,"January 20, 2021",6,bike,car,6am,Morning
496,bhanga,"January 20, 2021",3,bus,,12pm,Night
497,faridpur,"January 20, 2021",3,bus,,12pm,Night
498,kurigram,"January 19, 2021",2,truck,motorcycle,3pm,Afternoon
499,gangachara,"January 19, 2021",2,truck,motorcycle,3pm,Afternoon
500,dhaka,"January 18, 2021",7,bus,motorcycle,7 am,Morning
501,khilkhet,"January 18, 2021",7,bus,motorcycle,7 am,Morning
502,dhaka,"January 17, 2021",1,pickup,,5am,Morning
504,jhenaidah,"January 13, 2021",7,bus,truck,6pm,Evening
506,sylhet,"January 12, 2021",2,truck,motorcycle,10pm,Night
507,shyamnagar,"January 10, 2021",2,bus,,8am,Morning
508,khulna,"January 10, 2021",2,bus,,8am,Morning
509,nalchhiti,"January 09, 2021",2,motorcycle,truck,10pm,Night
510,shahjadpur,"January 09, 2021",2,motorcycle,truck,10pm,Night
511,shahjadpur,"January 08, 2021",2,rickshaw,auto-rickshaw,6am,Morning
514,mirpur,"January 06, 2021",1,bike,,10pm,Night
515,dhaka,"January 05, 2021",1,bike,,7pm,Evening
517,alipur,"January 05, 2021",1,motorcycle,pickup,9pm,Night
519,ukhiya,"January 05, 2021",1,truck,motorcycle,10am,Morning
520,teknaf,"January 05, 2021",1,truck,motorcycle,10am,Morning
521,gazipur,"January 03, 2021",1,bus,truck,11am,Morning
523,darikandi,"January 01, 2021",4,car,bus,4pm,Afternoon
524,narsingdi,"January 01, 2021",4,car,bus,4pm,Afternoon
525,uttara,"December 31, 2020",1,motorcycle,bike,11pm,Night
526,gulshan,"December 31, 2020",1,motorcycle,bike,11pm,Night
528,ghatail,"December 28, 2020",3,truck,motorcycle,12pm,Night
529,tangail,"December 28, 2020",3,truck,motorcycle,12pm,Night
530,laxmipur,"December 26, 2020",1,truck,motorcycle,10am,Morning
534,sylhet,"December 21, 2020",2,bus,motorcycle,2pm,Afternoon
537,sylhet,"December 07, 2020",8,bus,rickshaw,4pm,Afternoon
538,jatrabari,"December 04, 2020",10,motorcycle,truck,11am,Morning
539,dhaka,"December 04, 2020",10,motorcycle,truck,11am,Morning
540,manikganj,"December 04, 2020",7,rickshaw,bus,2pm,Afternoon
544,jhenaidah,"November 29, 2020",2,motorcycle,,10am,Morning
545,tungipara,"November 28, 2020",4,bus,,10am,Morning
546,pirojpur,"November 28, 2020",4,bus,,10am,Morning
549,chapainawabganj,"November 19, 2020",9,car,truck,5 am,Morning
550,naogaon,"November 19, 2020",9,car,truck,5 am,Morning
551,noakhali,"November 12, 2020",10,bus,,10pm,Night
552,matuail,"November 12, 2020",10,bus,,10pm,Night
553,jatrabari,"November 11, 2020",1,bus,,11am,Morning
555,lakshmipur,"November 03, 2020",5,truck,train,3pm,Afternoon
